 kgrid  ValNew  Policy 
    0.85 -76.3743     0.85
 0.85015  -76.359     0.85
  0.8503 -76.3437     0.85
 0.85045 -76.3284     0.85
  0.8506 -76.3132     0.85
 0.85075  -76.298     0.85
  0.8509 -76.2829     0.85
0.851051 -76.2677     0.85
0.851201 -76.2526     0.85
0.851351 -76.2376     0.85
0.851501 -76.2225     0.85
0.851651 -76.2075  0.85015
0.851801 -76.1925   0.8503
0.851951 -76.1775   0.8503
0.852101 -76.1625  0.85045
0.852251 -76.1475   0.8506
0.852401 -76.1326   0.8506
0.852551 -76.1176  0.85075
0.852701 -76.1027   0.8509
0.852851 -76.0878   0.8509
0.853002 -76.0729 0.851051
0.853152  -76.058 0.851201
0.853302 -76.0431 0.851201
0.853452 -76.0282 0.851351
0.853602 -76.0134 0.851351
0.853752 -75.9985 0.851501
0.853902 -75.9837 0.851651
0.854052 -75.9689 0.851801
0.854202 -75.9541 0.851801
0.854352 -75.9393 0.851951
0.854502 -75.9245 0.852101
0.854652 -75.9097 0.852101
0.854802 -75.8949 0.852251
0.854952 -75.8802 0.852401
0.855103 -75.8654 0.852551
0.855253 -75.8507 0.852551
0.855403  -75.836 0.852701
0.855553 -75.8213 0.852851
0.855703 -75.8066 0.853002
0.855853 -75.7919 0.853002
0.856003 -75.7772 0.853152
0.856153 -75.7626 0.853302
0.856303 -75.7479 0.853302
0.856453 -75.7333 0.853452
0.856603 -75.7186 0.853602
0.856753  -75.704 0.853752
0.856903 -75.6894 0.853752
0.857054 -75.6748 0.853902
0.857204 -75.6602 0.854052
0.857354 -75.6456 0.854202
0.857504  -75.631 0.854202
0.857654 -75.6165 0.854352
0.857804 -75.6019 0.854502
0.857954 -75.5874 0.854502
0.858104 -75.5729 0.854652
0.858254 -75.5584 0.854802
0.858404 -75.5439 0.854952
0.858554 -75.5294 0.854952
0.858704 -75.5149 0.855103
0.858854 -75.5004 0.855253
0.859005 -75.4859 0.855403
0.859155 -75.4715 0.855403
0.859305  -75.457 0.855553
0.859455 -75.4426 0.855703
0.859605 -75.4282 0.855703
0.859755 -75.4138 0.855853
0.859905 -75.3994 0.856003
0.860055  -75.385 0.856153
0.860205 -75.3706 0.856153
0.860355 -75.3562 0.856303
0.860505 -75.3419 0.856453
0.860655 -75.3275 0.856603
0.860805 -75.3132 0.856603
