 kgrid  ValNew  Policy 
    0.85 -75.1984     0.85
 0.85015 -75.1785     0.85
  0.8503 -75.1586     0.85
 0.85045 -75.1387     0.85
  0.8506 -75.1189     0.85
 0.85075 -75.0991     0.85
  0.8509 -75.0793     0.85
0.851051 -75.0596     0.85
0.851201   -75.04     0.85
0.851351 -75.0203     0.85
0.851501 -75.0008     0.85
0.851651 -74.9812     0.85
0.851801 -74.9617     0.85
0.851951 -74.9423     0.85
0.852101 -74.9229     0.85
0.852251 -74.9035     0.85
0.852401 -74.8842     0.85
0.852551 -74.8649     0.85
0.852701 -74.8457     0.85
0.852851 -74.8265     0.85
0.853002 -74.8073     0.85
0.853152 -74.7882     0.85
0.853302 -74.7691     0.85
0.853452 -74.7501     0.85
0.853602 -74.7311     0.85
0.853752 -74.7122     0.85
0.853902 -74.6933     0.85
0.854052 -74.6744     0.85
0.854202 -74.6556     0.85
0.854352 -74.6368     0.85
0.854502 -74.6181     0.85
0.854652 -74.5993     0.85
0.854802 -74.5807     0.85
0.854952 -74.5621     0.85
0.855103 -74.5435     0.85
0.855253 -74.5249     0.85
0.855403 -74.5064     0.85
0.855553  -74.488     0.85
0.855703 -74.4695     0.85
0.855853 -74.4512     0.85
0.856003 -74.4328     0.85
0.856153 -74.4145     0.85
0.856303 -74.3962     0.85
0.856453  -74.378     0.85
0.856603 -74.3598     0.85
0.856753 -74.3417     0.85
0.856903 -74.3236     0.85
0.857054 -74.3055     0.85
0.857204 -74.2875     0.85
0.857354 -74.2695     0.85
0.857504 -74.2515     0.85
0.857654 -74.2336     0.85
0.857804 -74.2157     0.85
0.857954 -74.1979     0.85
0.858104 -74.1801     0.85
0.858254 -74.1623     0.85
0.858404 -74.1446     0.85
0.858554 -74.1269     0.85
0.858704 -74.1092     0.85
0.858854 -74.0916     0.85
0.859005 -74.0741     0.85
0.859155 -74.0565     0.85
0.859305  -74.039     0.85
0.859455 -74.0216     0.85
0.859605 -74.0041     0.85
0.859755 -73.9867     0.85
0.859905 -73.9694     0.85
0.860055 -73.9521     0.85
0.860205 -73.9348     0.85
0.860355 -73.9175     0.85
0.860505 -73.9003     0.85
0.860655 -73.8832     0.85
0.860805  -73.866     0.85
0.860955 -73.8489     0.85
0.861106 -73.8319     0.85
0.861256 -73.8149     0.85
0.861406 -73.7979     0.85
0.861556 -73.7809     0.85
0.861706  -73.764     0.85
0.861856 -73.7471     0.85
0.862006 -73.7303     0.85
0.862156 -73.7135     0.85
0.862306 -73.6967     0.85
0.862456 -73.6799     0.85
0.862606 -73.6632     0.85
0.862756 -73.6466     0.85
0.862906 -73.6299     0.85
0.863057 -73.6133     0.85
0.863207 -73.5968     0.85
0.863357 -73.5802     0.85
0.863507 -73.5638     0.85
0.863657 -73.5473     0.85
0.863807 -73.5309     0.85
0.863957 -73.5145     0.85
0.864107 -73.4981     0.85
0.864257 -73.4818     0.85
0.864407 -73.4655     0.85
0.864557 -73.4493     0.85
0.864707  -73.433     0.85
0.864857 -73.4169     0.85
0.865008 -73.4007     0.85
0.865158 -73.3846     0.85
0.865308 -73.3685     0.85
0.865458 -73.3524     0.85
0.865608 -73.3364     0.85
0.865758 -73.3204     0.85
0.865908 -73.3045     0.85
0.866058 -73.2886     0.85
0.866208 -73.2727     0.85
0.866358 -73.2568     0.85
0.866508  -73.241     0.85
0.866658 -73.2252     0.85
0.866808 -73.2095     0.85
0.866958 -73.1938     0.85
