 kgrid  ValNew  Policy 
    0.85 -73.6099 0.862756
 0.85015  -73.596 0.862906
  0.8503 -73.5821 0.862906
 0.85045 -73.5683 0.863057
  0.8506 -73.5544 0.863207
 0.85075 -73.5406 0.863357
  0.8509 -73.5267 0.863357
0.851051 -73.5129 0.863507
0.851201 -73.4991 0.863657
0.851351 -73.4853 0.863807
0.851501 -73.4715 0.863807
0.851651 -73.4577 0.863957
0.851801 -73.4439 0.864107
0.851951 -73.4302 0.864257
0.852101 -73.4164 0.864407
0.852251 -73.4026 0.864407
0.852401 -73.3889 0.864557
0.852551 -73.3752 0.864707
0.852701 -73.3614 0.864857
0.852851 -73.3477 0.864857
0.853002  -73.334 0.865008
0.853152 -73.3203 0.865158
0.853302 -73.3066 0.865308
0.853452  -73.293 0.865308
0.853602 -73.2793 0.865458
0.853752 -73.2656 0.865608
0.853902  -73.252 0.865758
0.854052 -73.2384 0.865758
0.854202 -73.2247 0.865908
0.854352 -73.2111 0.866058
0.854502 -73.1975 0.866208
0.854652 -73.1839 0.866208
0.854802 -73.1703 0.866358
0.854952 -73.1567 0.866508
0.855103 -73.1431 0.866658
0.855253 -73.1296 0.866658
0.855403  -73.116 0.866808
0.855553 -73.1025 0.866958
0.855703 -73.0889 0.867109
0.855853 -73.0754 0.867259
0.856003 -73.0619 0.867259
0.856153 -73.0483 0.867409
0.856303 -73.0348 0.867559
0.856453 -73.0214 0.867709
0.856603 -73.0079 0.867709
0.856753 -72.9944 0.867859
0.856903 -72.9809 0.868009
0.857054 -72.9675 0.868159
0.857204  -72.954 0.868159
0.857354 -72.9406 0.868309
0.857504 -72.9271 0.868459
0.857654 -72.9137 0.868609
0.857804 -72.9003 0.868609
0.857954 -72.8869 0.868759
0.858104 -72.8735 0.868909
0.858254 -72.8601  0.86906
0.858404 -72.8467  0.86906
0.858554 -72.8334  0.86921
0.858704   -72.82  0.86936
0.858854 -72.8067  0.86951
0.859005 -72.7933  0.86966
0.859155   -72.78  0.86966
0.859305 -72.7667  0.86981
0.859455 -72.7533  0.86996
0.859605   -72.74  0.87011
0.859755 -72.7267  0.87011
0.859905 -72.7134  0.87026
0.860055 -72.7002  0.87041
0.860205 -72.6869  0.87056
0.860355 -72.6736  0.87056
0.860505 -72.6604  0.87071
0.860655 -72.6471  0.87086
0.860805 -72.6339 0.871011
0.860955 -72.6206 0.871161
0.861106 -72.6074 0.871311
0.861256 -72.5942 0.871461
0.861406  -72.581 0.871461
0.861556 -72.5678 0.871611
0.861706 -72.5546 0.871761
0.861856 -72.5414 0.871911
0.862006 -72.5282 0.872061
0.862156  -72.515 0.872211
0.862306 -72.5018 0.872361
0.862456 -72.4886 0.872361
0.862606 -72.4755 0.872511
0.862756 -72.4623 0.872661
0.862906 -72.4492 0.872811
0.863057  -72.436 0.872961
0.863207 -72.4229 0.873112
0.863357 -72.4097 0.873262
0.863507 -72.3966 0.873262
0.863657 -72.3835 0.873412
0.863807 -72.3704 0.873562
0.863957 -72.3573 0.873712
0.864107 -72.3442 0.873862
0.864257 -72.3311 0.874012
0.864407  -72.318 0.874162
0.864557 -72.3049 0.874312
0.864707 -72.2918 0.874312
0.864857 -72.2788 0.874462
0.865008 -72.2657 0.874612
0.865158 -72.2526 0.874762
0.865308 -72.2396 0.874912
0.865458 -72.2265 0.875063
0.865608 -72.2135 0.875213
0.865758 -72.2005 0.875363
0.865908 -72.1874 0.875363
0.866058 -72.1744 0.875513
0.866208 -72.1614 0.875663
0.866358 -72.1484 0.875813
0.866508 -72.1354 0.875963
0.866658 -72.1224 0.876113
0.866808 -72.1094 0.876263
0.866958 -72.0964 0.876263
0.867109 -72.0834 0.876413
0.867259 -72.0704 0.876563
0.867409 -72.0575 0.876713
0.867559 -72.0445 0.876863
0.867709 -72.0315 0.877014
0.867859 -72.0186 0.877164
0.868009 -72.0057 0.877314
0.868159 -71.9927 0.877314
0.868309 -71.9798 0.877464
0.868459 -71.9669 0.877614
0.868609 -71.9539 0.877764
0.868759  -71.941 0.877914
0.868909 -71.9281 0.878064
 0.86906 -71.9152 0.878214
 0.86921 -71.9023 0.878364
 0.86936 -71.8894 0.878364
 0.86951 -71.8765 0.878514
 0.86966 -71.8637 0.878664
 0.86981 -71.8508 0.878814
 0.86996 -71.8379 0.878964
 0.87011 -71.8251 0.879115
 0.87026 -71.8122 0.879265
 0.87041 -71.7994 0.879415
 0.87056 -71.7865 0.879415
 0.87071 -71.7737 0.879565
 0.87086 -71.7608 0.879715
0.871011  -71.748 0.879865
0.871161 -71.7352 0.880015
0.871311 -71.7224 0.880165
0.871461 -71.7096 0.880315
0.871611 -71.6968 0.880465
0.871761  -71.684 0.880615
0.871911 -71.6712 0.880615
0.872061 -71.6584 0.880765
0.872211 -71.6456 0.880915
0.872361 -71.6328 0.881066
0.872511 -71.6201 0.881216
0.872661 -71.6073 0.881366
0.872811 -71.5945 0.881516
0.872961 -71.5818 0.881666
0.873112  -71.569 0.881816
0.873262 -71.5563 0.881816
0.873412 -71.5435 0.881966
0.873562 -71.5308 0.882116
0.873712 -71.5181 0.882266
0.873862 -71.5054 0.882416
0.874012 -71.4926 0.882566
0.874162 -71.4799 0.882716
0.874312 -71.4672 0.882866
0.874462 -71.4545 0.883017
0.874612 -71.4418 0.883167
0.874762 -71.4291 0.883167
0.874912 -71.4165 0.883317
0.875063 -71.4038 0.883467
0.875213 -71.3911 0.883617
0.875363 -71.3784 0.883767
0.875513 -71.3658 0.883917
0.875663 -71.3531 0.884067
0.875813 -71.3405 0.884217
0.875963 -71.3278 0.884367
0.876113 -71.3152 0.884367
0.876263 -71.3025 0.884517
0.876413 -71.2899 0.884667
0.876563 -71.2773 0.884817
0.876713 -71.2647 0.884967
0.876863 -71.2521 0.885118
0.877014 -71.2395 0.885268
0.877164 -71.2268 0.885418
0.877314 -71.2143 0.885568
0.877464 -71.2017 0.885568
0.877614 -71.1891 0.885718
0.877764 -71.1765 0.885868
0.877914 -71.1639 0.886018
0.878064 -71.1513 0.886168
0.878214 -71.1388 0.886318
0.878364 -71.1262 0.886468
0.878514 -71.1137 0.886618
