 kgrid  ValNew  Policy 
    0.85 -68.9138 0.877914
 0.85015 -68.9009 0.878064
  0.8503 -68.8879 0.878214
 0.85045 -68.8749 0.878364
  0.8506  -68.862 0.878514
 0.85075  -68.849 0.878664
  0.8509 -68.8361 0.878814
0.851051 -68.8231 0.878964
0.851201 -68.8102 0.878964
0.851351 -68.7973 0.879115
0.851501 -68.7843 0.879265
0.851651 -68.7714 0.879415
0.851801 -68.7585 0.879565
0.851951 -68.7456 0.879715
0.852101 -68.7327 0.879865
0.852251 -68.7198 0.880015
0.852401 -68.7069 0.880165
0.852551 -68.6941 0.880165
0.852701 -68.6812 0.880315
0.852851 -68.6683 0.880465
0.853002 -68.6554 0.880615
0.853152 -68.6426 0.880765
0.853302 -68.6297 0.880915
0.853452 -68.6169 0.881066
0.853602 -68.6041 0.881216
0.853752 -68.5912 0.881366
0.853902 -68.5784 0.881366
0.854052 -68.5656 0.881516
0.854202 -68.5527 0.881666
0.854352 -68.5399 0.881816
0.854502 -68.5271 0.881966
0.854652 -68.5143 0.882116
0.854802 -68.5015 0.882266
0.854952 -68.4887 0.882416
0.855103 -68.4759 0.882566
0.855253 -68.4632 0.882566
0.855403 -68.4504 0.882716
0.855553 -68.4376 0.882866
0.855703 -68.4249 0.883017
0.855853 -68.4121 0.883167
0.856003 -68.3994 0.883317
0.856153 -68.3866 0.883467
0.856303 -68.3739 0.883617
0.856453 -68.3611 0.883767
0.856603 -68.3484 0.883917
0.856753 -68.3357 0.883917
0.856903  -68.323 0.884067
0.857054 -68.3102 0.884217
0.857204 -68.2975 0.884367
0.857354 -68.2848 0.884517
0.857504 -68.2721 0.884667
0.857654 -68.2594 0.884817
0.857804 -68.2468 0.884967
0.857954 -68.2341 0.885118
0.858104 -68.2214 0.885268
0.858254 -68.2087 0.885268
0.858404 -68.1961 0.885418
0.858554 -68.1834 0.885568
0.858704 -68.1708 0.885718
0.858854 -68.1581 0.885868
0.859005 -68.1455 0.886018
0.859155 -68.1328 0.886168
0.859305 -68.1202 0.886318
0.859455 -68.1076 0.886468
0.859605  -68.095 0.886618
0.859755 -68.0823 0.886618
0.859905 -68.0697 0.886768
0.860055 -68.0571 0.886918
0.860205 -68.0445 0.887069
0.860355 -68.0319 0.887219
0.860505 -68.0193 0.887369
0.860655 -68.0068 0.887519
0.860805 -67.9942 0.887669
0.860955 -67.9816 0.887819
0.861106  -67.969 0.887969
0.861256 -67.9565 0.887969
0.861406 -67.9439 0.888119
0.861556 -67.9314 0.888269
0.861706 -67.9188 0.888419
0.861856 -67.9063 0.888569
0.862006 -67.8937 0.888719
0.862156 -67.8812 0.888869
0.862306 -67.8687  0.88902
0.862456 -67.8562  0.88917
0.862606 -67.8437  0.88932
0.862756 -67.8311  0.88932
0.862906 -67.8186  0.88947
0.863057 -67.8061  0.88962
0.863207 -67.7936  0.88977
0.863357 -67.7812  0.88992
0.863507 -67.7687  0.89007
0.863657 -67.7562  0.89022
0.863807 -67.7437  0.89037
0.863957 -67.7313  0.89052
0.864107 -67.7188  0.89067
0.864257 -67.7063  0.89067
0.864407 -67.6939  0.89082
0.864557 -67.6814  0.89097
0.864707  -67.669 0.891121
0.864857 -67.6566 0.891271
0.865008 -67.6441 0.891421
0.865158 -67.6317 0.891571
0.865308 -67.6193 0.891721
0.865458 -67.6069 0.891871
0.865608 -67.5944 0.892021
0.865758  -67.582 0.892171
0.865908 -67.5696 0.892171
0.866058 -67.5572 0.892321
0.866208 -67.5449 0.892471
0.866358 -67.5325 0.892621
0.866508 -67.5201 0.892771
0.866658 -67.5077 0.892921
0.866808 -67.4953 0.893072
0.866958  -67.483 0.893222
0.867109 -67.4706 0.893372
0.867259 -67.4583 0.893522
0.867409 -67.4459 0.893522
0.867559 -67.4336 0.893672
0.867709 -67.4212 0.893822
0.867859 -67.4089 0.893972
0.868009 -67.3966 0.894122
0.868159 -67.3842 0.894272
0.868309 -67.3719 0.894422
0.868459 -67.3596 0.894572
0.868609 -67.3473 0.894722
0.868759  -67.335 0.894872
0.868909 -67.3227 0.895023
 0.86906 -67.3104 0.895023
 0.86921 -67.2981 0.895173
 0.86936 -67.2858 0.895323
 0.86951 -67.2735 0.895473
 0.86966 -67.2613 0.895623
 0.86981  -67.249 0.895773
 0.86996 -67.2367 0.895923
 0.87011 -67.2245 0.896073
 0.87026 -67.2122 0.896223
 0.87041    -67.2 0.896373
 0.87056 -67.1877 0.896523
 0.87071 -67.1755 0.896523
 0.87086 -67.1632 0.896673
0.871011  -67.151 0.896823
0.871161 -67.1388 0.896973
0.871311 -67.1266 0.897124
0.871461 -67.1144 0.897274
0.871611 -67.1021 0.897424
0.871761 -67.0899 0.897574
0.871911 -67.0777 0.897724
0.872061 -67.0655 0.897874
0.872211 -67.0533 0.898024
0.872361 -67.0412 0.898024
0.872511  -67.029 0.898174
0.872661 -67.0168 0.898324
0.872811 -67.0046 0.898474
0.872961 -66.9925 0.898624
0.873112 -66.9803 0.898774
0.873262 -66.9681 0.898924
0.873412  -66.956 0.899075
0.873562 -66.9438 0.899225
0.873712 -66.9317 0.899375
0.873862 -66.9196 0.899525
0.874012 -66.9074 0.899675
0.874162 -66.8953 0.899675
0.874312 -66.8832 0.899825
0.874462 -66.8711 0.899975
0.874612 -66.8589 0.900125
0.874762 -66.8468 0.900275
0.874912 -66.8347 0.900425
0.875063 -66.8226 0.900575
0.875213 -66.8105 0.900725
0.875363 -66.7984 0.900875
0.875513 -66.7863 0.901026
0.875663 -66.7743 0.901176
0.875813 -66.7622 0.901326
0.875963 -66.7501 0.901476
0.876113  -66.738 0.901626
0.876263  -66.726 0.901626
0.876413 -66.7139 0.901776
0.876563 -66.7018 0.901926
0.876713 -66.6898 0.902076
0.876863 -66.6777 0.902226
0.877014 -66.6657 0.902376
0.877164 -66.6537 0.902526
0.877314 -66.6416 0.902676
0.877464 -66.6296 0.902826
0.877614 -66.6176 0.902976
0.877764 -66.6055 0.903127
0.877914 -66.5935 0.903277
0.878064 -66.5815 0.903427
0.878214 -66.5695 0.903577
0.878364 -66.5575 0.903577
0.878514 -66.5455 0.903727
0.878664 -66.5335 0.903877
0.878814 -66.5215 0.904027
0.878964 -66.5095 0.904177
0.879115 -66.4975 0.904327
0.879265 -66.4856 0.904477
0.879415 -66.4736 0.904627
0.879565 -66.4616 0.904777
0.879715 -66.4497 0.904927
0.879865 -66.4377 0.905078
0.880015 -66.4257 0.905228
0.880165 -66.4138 0.905378
0.880315 -66.4018 0.905528
0.880465 -66.3899 0.905528
0.880615  -66.378 0.905678
0.880765  -66.366 0.905828
0.880915 -66.3541 0.905978
0.881066 -66.3422 0.906128
0.881216 -66.3302 0.906278
0.881366 -66.3183 0.906428
0.881516 -66.3064 0.906578
0.881666 -66.2945 0.906728
0.881816 -66.2826 0.906878
0.881966 -66.2707 0.907029
0.882116 -66.2588 0.907179
0.882266 -66.2469 0.907329
0.882416  -66.235 0.907479
0.882566 -66.2231 0.907629
0.882716 -66.2113 0.907629
0.882866 -66.1994 0.907779
0.883017 -66.1875 0.907929
0.883167 -66.1757 0.908079
0.883317 -66.1638 0.908229
0.883467 -66.1519 0.908379
0.883617 -66.1401 0.908529
0.883767 -66.1282 0.908679
0.883917 -66.1164 0.908829
0.884067 -66.1045 0.908979
0.884217 -66.0927  0.90913
0.884367 -66.0809  0.90928
0.884517  -66.069  0.90943
0.884667 -66.0572  0.90958
0.884817 -66.0454  0.90973
0.884967 -66.0336  0.90973
0.885118 -66.0218  0.90988
0.885268   -66.01  0.91003
0.885418 -65.9982  0.91018
0.885568 -65.9864  0.91033
0.885718 -65.9746  0.91048
0.885868 -65.9628  0.91063
0.886018  -65.951  0.91078
0.886168 -65.9392  0.91093
0.886318 -65.9274 0.911081
0.886468 -65.9157 0.911231
0.886618 -65.9039 0.911381
0.886768 -65.8921 0.911531
0.886918 -65.8804 0.911681
0.887069 -65.8686 0.911831
0.887219 -65.8569 0.911831
0.887369 -65.8451 0.911981
0.887519 -65.8334 0.912131
0.887669 -65.8216 0.912281
0.887819 -65.8099 0.912431
0.887969 -65.7981 0.912581
0.888119 -65.7864 0.912731
0.888269 -65.7747 0.912881
0.888419  -65.763 0.913032
0.888569 -65.7513 0.913182
0.888719 -65.7395 0.913332
0.888869 -65.7278 0.913482
 0.88902 -65.7161 0.913632
 0.88917 -65.7044 0.913782
 0.88932 -65.6927 0.913932
 0.88947  -65.681 0.914082
 0.88962 -65.6694 0.914082
 0.88977 -65.6577 0.914232
 0.88992  -65.646 0.914382
 0.89007 -65.6343 0.914532
 0.89022 -65.6226 0.914682
 0.89037  -65.611 0.914832
 0.89052 -65.5993 0.914982
 0.89067 -65.5877 0.915133
 0.89082  -65.576 0.915283
 0.89097 -65.5643 0.915433
0.891121 -65.5527 0.915583
0.891271 -65.5411 0.915733
0.891421 -65.5294 0.915883
0.891571 -65.5178 0.916033
0.891721 -65.5061 0.916183
0.891871 -65.4945 0.916333
0.892021 -65.4829 0.916333
0.892171 -65.4713 0.916483
0.892321 -65.4597 0.916633
0.892471  -65.448 0.916783
0.892621 -65.4364 0.916933
0.892771 -65.4248 0.917084
0.892921 -65.4132 0.917234
0.893072 -65.4016 0.917384
0.893222   -65.39 0.917534
0.893372 -65.3785 0.917684
0.893522 -65.3669 0.917834
0.893672 -65.3553 0.917984
0.893822 -65.3437 0.918134
0.893972 -65.3321 0.918284
0.894122 -65.3206 0.918434
0.894272  -65.309 0.918584
0.894422 -65.2974 0.918734
0.894572 -65.2859 0.918734
0.894722 -65.2743 0.918884
0.894872 -65.2628 0.919035
0.895023 -65.2512 0.919185
0.895173 -65.2397 0.919335
0.895323 -65.2282 0.919485
0.895473 -65.2166 0.919635
0.895623 -65.2051 0.919785
0.895773 -65.1936 0.919935
0.895923  -65.182 0.920085
0.896073 -65.1705 0.920235
0.896223  -65.159 0.920385
0.896373 -65.1475 0.920535
0.896523  -65.136 0.920685
0.896673 -65.1245 0.920835
0.896823  -65.113 0.920985
0.896973 -65.1015 0.921136
0.897124   -65.09 0.921136
0.897274 -65.0785 0.921286
0.897424  -65.067 0.921436
0.897574 -65.0556 0.921586
0.897724 -65.0441 0.921736
0.897874 -65.0326 0.921886
0.898024 -65.0211 0.922036
0.898174 -65.0097 0.922186
0.898324 -64.9982 0.922336
0.898474 -64.9868 0.922486
0.898624 -64.9753 0.922636
0.898774 -64.9639 0.922786
0.898924 -64.9524 0.922936
0.899075  -64.941 0.923087
0.899225 -64.9295 0.923237
0.899375 -64.9181 0.923387
0.899525 -64.9067 0.923537
0.899675 -64.8953 0.923537
0.899825 -64.8838 0.923687
0.899975 -64.8724 0.923837
0.900125  -64.861 0.923987
0.900275 -64.8496 0.924137
0.900425 -64.8382 0.924287
0.900575 -64.8268 0.924437
0.900725 -64.8154 0.924587
0.900875  -64.804 0.924737
0.901026 -64.7926 0.924887
0.901176 -64.7812 0.925038
0.901326 -64.7698 0.925188
0.901476 -64.7585 0.925338
0.901626 -64.7471 0.925488
0.901776 -64.7357 0.925638
0.901926 -64.7243 0.925788
0.902076  -64.713 0.925938
0.902226 -64.7016 0.926088
0.902376 -64.6903 0.926088
0.902526 -64.6789 0.926238
0.902676 -64.6676 0.926388
0.902826 -64.6562 0.926538
0.902976 -64.6449 0.926688
0.903127 -64.6335 0.926838
0.903277 -64.6222 0.926988
0.903427 -64.6109 0.927139
0.903577 -64.5995 0.927289
0.903727 -64.5882 0.927439
0.903877 -64.5769 0.927589
0.904027 -64.5656 0.927739
0.904177 -64.5543 0.927889
0.904327  -64.543 0.928039
0.904477 -64.5317 0.928189
0.904627 -64.5204 0.928339
0.904777 -64.5091 0.928489
0.904927 -64.4978 0.928639
0.905078 -64.4865 0.928639
0.905228 -64.4752 0.928789
0.905378 -64.4639 0.928939
0.905528 -64.4526  0.92909
0.905678 -64.4413  0.92924
0.905828 -64.4301  0.92939
0.905978 -64.4188  0.92954
0.906128 -64.4075  0.92969
0.906278 -64.3963  0.92984
0.906428  -64.385  0.92999
0.906578 -64.3738  0.93014
0.906728 -64.3625  0.93029
0.906878 -64.3513  0.93044
0.907029   -64.34  0.93059
0.907179 -64.3288  0.93074
0.907329 -64.3176  0.93089
0.907479 -64.3063 0.931041
0.907629 -64.2951 0.931191
0.907779 -64.2839 0.931191
0.907929 -64.2727 0.931341
0.908079 -64.2614 0.931491
0.908229 -64.2502 0.931641
0.908379  -64.239 0.931791
0.908529 -64.2278 0.931941
0.908679 -64.2166 0.932091
0.908829 -64.2054 0.932241
0.908979 -64.1942 0.932391
 0.90913  -64.183 0.932541
 0.90928 -64.1719 0.932691
 0.90943 -64.1607 0.932841
 0.90958 -64.1495 0.932991
 0.90973 -64.1383 0.933142
 0.90988 -64.1271 0.933292
 0.91003  -64.116 0.933442
 0.91018 -64.1048 0.933592
 0.91033 -64.0936 0.933742
 0.91048 -64.0825 0.933892
 0.91063 -64.0713 0.933892
 0.91078 -64.0602 0.934042
 0.91093  -64.049 0.934192
0.911081 -64.0379 0.934342
0.911231 -64.0267 0.934492
0.911381 -64.0156 0.934642
0.911531 -64.0045 0.934792
0.911681 -63.9933 0.934942
0.911831 -63.9822 0.935093
0.911981 -63.9711 0.935243
0.912131   -63.96 0.935393
0.912281 -63.9489 0.935543
0.912431 -63.9377 0.935693
0.912581 -63.9266 0.935843
0.912731 -63.9155 0.935993
0.912881 -63.9044 0.936143
0.913032 -63.8933 0.936293
0.913182 -63.8822 0.936443
0.913332 -63.8712 0.936593
0.913482 -63.8601 0.936593
0.913632  -63.849 0.936743
0.913782 -63.8379 0.936893
0.913932 -63.8268 0.937044
0.914082 -63.8157 0.937194
0.914232 -63.8047 0.937344
0.914382 -63.7936 0.937494
0.914532 -63.7825 0.937644
0.914682 -63.7715 0.937794
0.914832 -63.7604 0.937944
0.914982 -63.7494 0.938094
0.915133 -63.7383 0.938244
0.915283 -63.7273 0.938394
