 kgrid  ValNew  Policy 
    0.85 -74.7919 0.862756
 0.85015  -74.778 0.862906
  0.8503 -74.7642 0.863057
 0.85045 -74.7503 0.863057
  0.8506 -74.7364 0.863207
 0.85075 -74.7226 0.863357
  0.8509 -74.7087 0.863507
0.851051 -74.6949 0.863507
0.851201 -74.6811 0.863657
0.851351 -74.6673 0.863807
0.851501 -74.6535 0.863957
0.851651 -74.6397 0.863957
0.851801 -74.6259 0.864107
0.851951 -74.6121 0.864257
0.852101 -74.5984 0.864407
0.852251 -74.5846 0.864407
0.852401 -74.5709 0.864557
0.852551 -74.5571 0.864707
0.852701 -74.5434 0.864857
0.852851 -74.5297 0.864857
0.853002  -74.516 0.865008
0.853152 -74.5023 0.865158
0.853302 -74.4886 0.865308
0.853452 -74.4749 0.865308
0.853602 -74.4612 0.865458
0.853752 -74.4476 0.865608
0.853902 -74.4339 0.865758
0.854052 -74.4203 0.865908
0.854202 -74.4066 0.865908
0.854352  -74.393 0.866058
0.854502 -74.3794 0.866208
0.854652 -74.3658 0.866358
0.854802 -74.3522 0.866358
0.854952 -74.3386 0.866508
0.855103  -74.325 0.866658
0.855253 -74.3115 0.866808
0.855403 -74.2979 0.866808
0.855553 -74.2843 0.866958
0.855703 -74.2708 0.867109
0.855853 -74.2573 0.867259
0.856003 -74.2437 0.867259
0.856153 -74.2302 0.867409
0.856303 -74.2167 0.867559
0.856453 -74.2032 0.867709
0.856603 -74.1897 0.867709
0.856753 -74.1763 0.867859
0.856903 -74.1628 0.868009
0.857054 -74.1493 0.868159
0.857204 -74.1359 0.868309
0.857354 -74.1224 0.868309
0.857504  -74.109 0.868459
0.857654 -74.0956 0.868609
0.857804 -74.0822 0.868759
0.857954 -74.0687 0.868759
0.858104 -74.0553 0.868909
0.858254 -74.0419  0.86906
0.858404 -74.0286  0.86921
0.858554 -74.0152  0.86921
0.858704 -74.0018  0.86936
0.858854 -73.9885  0.86951
0.859005 -73.9751  0.86966
0.859155 -73.9618  0.86966
0.859305 -73.9485  0.86981
0.859455 -73.9351  0.86996
0.859605 -73.9218  0.87011
0.859755 -73.9085  0.87026
0.859905 -73.8952  0.87026
0.860055  -73.882  0.87041
0.860205 -73.8687  0.87056
0.860355 -73.8554  0.87071
0.860505 -73.8422  0.87071
0.860655 -73.8289  0.87086
0.860805 -73.8156 0.871011
0.860955 -73.8024 0.871161
0.861106 -73.7892 0.871311
0.861256 -73.7759 0.871461
0.861406 -73.7627 0.871611
0.861556 -73.7495 0.871611
0.861706 -73.7363 0.871761
0.861856 -73.7231 0.871911
0.862006 -73.7099 0.872061
0.862156 -73.6967 0.872211
0.862306 -73.6835 0.872361
0.862456 -73.6704 0.872511
0.862606 -73.6572 0.872511
0.862756  -73.644 0.872661
0.862906 -73.6309 0.872811
0.863057 -73.6177 0.872961
0.863207 -73.6046 0.873112
0.863357 -73.5914 0.873262
0.863507 -73.5783 0.873412
0.863657 -73.5652 0.873562
0.863807 -73.5521 0.873562
0.863957  -73.539 0.873712
0.864107 -73.5258 0.873862
0.864257 -73.5127 0.874012
0.864407 -73.4996 0.874162
0.864557 -73.4866 0.874312
